priority,label_name,true_label,weak_label,refined_label,weak_confidence,refined_confidence,title,description,text
1,Business,Business,Unlabeled,Unlabeled,0.0,0.0,'Enron of Kansas' Trial Begins,"In the recent annals of corporate fraud, the names Enron, Tyco and WorldCom ring the loudest.","'Enron of Kansas' Trial Begins. In the recent annals of corporate fraud, the names Enron, Tyco and WorldCom ring the loudest."
1,Business,Business,Sci/Tech,Sci/Tech,1.0,1.0,(Not So) Simple Simon (Forbes.com),"Forbes.com - Simon Lok is brash and brilliant and intense, a 26-year-old computer scientist with a teensy company and big, conqueror dreams. He has developed an elegant little networking box that shuts out intruders and costs 80 less than the gear hawked by the giants he despises--Cisco, Lucent, those guys.","(Not So) Simple Simon (Forbes.com). Forbes.com - Simon Lok is brash and brilliant and intense, a 26-year-old computer scientist with a teensy company and big, conqueror dreams. He has developed an elegant little networking box that shuts out intruders and costs 80 less than the gear hawked by the giants he despises--Cisco, Lucent, those guys."
1,Business,Business,Unlabeled,Unlabeled,0.0,0.0,2 Airlines' New Cuts Target Executives,US Airways Group and Delta Air Lines are both looking to their executive ranks in their latest round of cost cuts.,2 Airlines' New Cuts Target Executives. US Airways Group and Delta Air Lines are both looking to their executive ranks in their latest round of cost cuts.
1,Business,Business,Unlabeled,Unlabeled,0.0,0.0,A New Legal Chapter for a 90's Flameout,"A lawsuit against Gary Winnick, the former chief of Global Crossing, refocuses attention on what Mr. Winnick knew about his company's finances as it imploded.","A New Legal Chapter for a 90's Flameout. A lawsuit against Gary Winnick, the former chief of Global Crossing, refocuses attention on what Mr. Winnick knew about his company's finances as it imploded."
1,Business,Business,Unlabeled,Unlabeled,0.0,0.0,A Simpler Conversion,A new IRA conversion rule will let you ignore minimum distributions in computing threshold incomes.,A Simpler Conversion. A new IRA conversion rule will let you ignore minimum distributions in computing threshold incomes.
1,Business,Business,Unlabeled,Unlabeled,0.0,0.0,A burgeoning billionaires #39; club,"There are now 313 US billionaires, the most ever and a huge jump over last year #39;s 262, according to Forbes magazine, which yesterday released its annual ranking of the 400 richest Americans.","A burgeoning billionaires #39; club. There are now 313 US billionaires, the most ever and a huge jump over last year #39;s 262, according to Forbes magazine, which yesterday released its annual ranking of the 400 richest Americans."
1,Business,Business,Unlabeled,Unlabeled,0.0,0.0,A major player at Enron testifies,"HOUSTON A former executive who participated in the wrongdoing that helped cripple Enron has testified, providing the first glimpse through the eyes of a principal of the deals orchestrated by Andrew Fastow when he was the company #39;s chief financial officer","A major player at Enron testifies. HOUSTON A former executive who participated in the wrongdoing that helped cripple Enron has testified, providing the first glimpse through the eyes of a principal of the deals orchestrated by Andrew Fastow when he was the company #39;s chief financial officer"
1,Business,Business,Unlabeled,Unlabeled,0.0,0.0,AA to delay aircraft deliveries,"Fort Worth, Texas-based, American Airlines says it will defer 54 of 56 Boeing aircraft scheduled for delivery between 2006 and 2010, American said Monday.","AA to delay aircraft deliveries. Fort Worth, Texas-based, American Airlines says it will defer 54 of 56 Boeing aircraft scheduled for delivery between 2006 and 2010, American said Monday."
1,Business,Business,Unlabeled,Unlabeled,0.0,0.0,ADV: Free Insurance Quotes and Help,"Free quotes on mortgages, annuities, life and auto insurance, and all your financial and insurance needs. A local MostChoice expert helps you at no cost or obligation. Quick and easy form.","ADV: Free Insurance Quotes and Help. Free quotes on mortgages, annuities, life and auto insurance, and all your financial and insurance needs. A local MostChoice expert helps you at no cost or obligation. Quick and easy form."
1,Business,Business,Unlabeled,Unlabeled,0.0,0.0,ADV: Instantly Lower All Your Monthly Bills,"Get a low refinance or home equity rate, including \$150,000 mortgage for under \$690/mo. Also save on your cell phone bill, long distance calls, credit card payments, auto insurance and more.","ADV: Instantly Lower All Your Monthly Bills. Get a low refinance or home equity rate, including \$150,000 mortgage for under \$690/mo. Also save on your cell phone bill, long distance calls, credit card payments, auto insurance and more."
1,Business,Business,Sci/Tech,Sci/Tech,1.0,1.0,AMD hit by weak demand,"Advanced Micro Devices yesterday warned that revenues in the third quarter would be lower than earlier forecasts, echoing a similar statement from Intel last month - its biggest rival in the chip sector.","AMD hit by weak demand. Advanced Micro Devices yesterday warned that revenues in the third quarter would be lower than earlier forecasts, echoing a similar statement from Intel last month - its biggest rival in the chip sector."
1,Business,Business,Business,Unlabeled,0.5,0.5017082,AT amp;T Wireless ends storefront presence,The merger between AT amp;T Wireless and Cingular Wireless will become more visible today as the Atlanta-based carrier rolls out a holiday ad campaign and transforms AT amp;T Wireless retail stores to the Cingular brand.,AT amp;T Wireless ends storefront presence. The merger between AT amp;T Wireless and Cingular Wireless will become more visible today as the Atlanta-based carrier rolls out a holiday ad campaign and transforms AT amp;T Wireless retail stores to the Cingular brand.
1,Business,Business,Unlabeled,Unlabeled,0.0,0.0,Abramovich: Sells Stake To Countryman,"From one billionaire to the next: Two members of the Forbes list of the world #39;s richest people are players in deal surrounding Russian Aluminum, the world #39;s third largest producer of what #39;s known on the periodic table as quot;Al quot;.","Abramovich: Sells Stake To Countryman. From one billionaire to the next: Two members of the Forbes list of the world #39;s richest people are players in deal surrounding Russian Aluminum, the world #39;s third largest producer of what #39;s known on the periodic table as quot;Al quot;."
1,Business,Business,Sci/Tech,Sci/Tech,1.0,1.0,"Adams, Harkness settles","The Boston investment firm Adams, Harkness Inc. will pay \$575,000 to settle charges that it failed to disclose it was paid by investment banks to write research reports on the banks' underwriting clients, regulators said yesterday. Adams, Harkness also failed to preserve copies of internal e-mails as required by law, they said.","Adams, Harkness settles. The Boston investment firm Adams, Harkness Inc. will pay \$575,000 to settle charges that it failed to disclose it was paid by investment banks to write research reports on the banks' underwriting clients, regulators said yesterday. Adams, Harkness also failed to preserve copies of internal e-mails as required by law, they said."
1,Business,Business,Unlabeled,Unlabeled,0.0,0.0,Advertising Spending to Grow '05 - Buyers,"LONDON/NEW YORK (Reuters) - Advertising spending will grow robustly in 2005 despite the absence of events like the Olympics, media buying agencies Universal McCann and Zenith Optimedia said on Monday as they raised their forecasts.","Advertising Spending to Grow '05 - Buyers. LONDON/NEW YORK (Reuters) - Advertising spending will grow robustly in 2005 despite the absence of events like the Olympics, media buying agencies Universal McCann and Zenith Optimedia said on Monday as they raised their forecasts."
1,Business,Business,Unlabeled,Unlabeled,0.0,0.0,Aging society hits Japan #39;s economy,"Japan #39;s economy will be the most severely affected among industrialized nations by population aging, Kyodo News said Thursday.","Aging society hits Japan #39;s economy. Japan #39;s economy will be the most severely affected among industrialized nations by population aging, Kyodo News said Thursday."
1,Business,Business,World,World,1.0,1.0,Aircraft subsidies trigger trans-Atlantic trade fight,Washington state #39;s \$3.2 billion package of tax incentives for Boeing #39;s 7E7 project has become a focal point of the quickly worsening trade dispute between the US and Europe over government support for airplane makers.,Aircraft subsidies trigger trans-Atlantic trade fight. Washington state #39;s \$3.2 billion package of tax incentives for Boeing #39;s 7E7 project has become a focal point of the quickly worsening trade dispute between the US and Europe over government support for airplane makers.
1,Business,Business,Unlabeled,Unlabeled,0.0,0.0,Alitalia Gets Crucial Deal With Pilots,"Alitalia reached a vital deal with its pilots on productivity improvements on Tuesday, a day ahead of a deadline to seal a rescue plan or face bankruptcy, union sources said.","Alitalia Gets Crucial Deal With Pilots. Alitalia reached a vital deal with its pilots on productivity improvements on Tuesday, a day ahead of a deadline to seal a rescue plan or face bankruptcy, union sources said."
